equipment,create_time,location,loc_count
长丰猎豹,"2017-05-02 00:00:00",上海,1
长丰猎豹,"2017-05-26 00:00:00",广东,1
长丰猎豹,"2017-06-06 00:00:00",辽宁,1
长丰猎豹,"2017-06-18 00:00:00",内蒙古,1
雪佛兰子弹头客车,"2017-06-22 00:00:00",重庆,1
雪佛兰柯西,"2017-01-07 00:00:00",北京,1
风神蓝鸟,"2017-05-13 00:00:00",广州,1
骊山LS6911,"2017-04-29 00:00:00",昆明,1
骊山LS6911,"2017-05-28 00:00:00",上海,1
黄河DD3090JFZ,"2017-06-18 00:00:00",四川,1
黄河DD3090JFZ,"2017-08-19 00:00:00",北京,1
黄河DD3090JFZ,"2017-08-19 00:00:00",四川,1
黄河DD5100GJY,"2017-06-18 00:00:00",沈阳,1
黄河DD510GYY,"2017-05-01 00:00:00",青岛,1
黄河DD510GYY,"2017-05-08 00:00:00",北京,1
黄河DD510GYY,"2017-07-23 00:00:00",天津,1
