equipment,location,loc_count,latitude,longitude
五岳TAZ3090,西宁,1,36.38,101.48
五岳TAZ3090,西安,1,34.17,108.57
五岳TAZ3090,辽宁,29,41.48,123.25
五岳TAZ3090,郑州,1,34.46,113.4
五岳TAZ3090,陕西,13,34.17,108.57
别克赛欧,重庆,1,29.35,106.33
北汽勇士,北京,4,39.55,116.24
北汽勇士,四川,30,30.4,104.04
北汽勇士,大连,1,38.55,121.36
北汽勇士,天津,3,39.02,117.12
北汽勇士,太原,1,37.54,112.33
北汽勇士,山海关,1,40,119.6
北汽勇士,河北,33,38.02,114.3
北汽勇士,河南,36,34.46,113.4
北汽勇士,湖南,29,28.12,112.59
北汽勇士,辽宁,29,41.48,123.25
北起BCW5122JQZ,吉林,26,43.54,125.19
北起BCW5122JQZ,西宁,1,36.38,101.48
北起BCW5122JQZ,贵阳,1,26.35,106.42
北起CWY12,北京,1,39.55,116.24
奇瑞SQR7160ET车,北京,1,39.55,116.24
奔驰2026,天津,1,39.02,117.12
奔驰2026,太原,1,37.54,112.33
奔驰2026（6×6）8吨级越野车,四川,30,30.4,104.04
奔驰2026（6×6）8吨级越野车,辽宁,29,41.48,123.25
奥迪A1,北京,3,39.55,116.24
奥迪A1,南昌,1,28.4,115.55
奥迪A1,四川,60,30.4,104.04
奥迪A1,广州,1,23.08,113.14
奥迪A1,武汉,1,30.35,114.17
奥迪A1,贵州,11,26.35,106.42
奥迪A1,重庆,1,29.35,106.33
奥迪A1,长春,1,43.54,125.19
奥迪A1,青海,3,36.38,101.48
奥迪A2,北京,1,39.55,116.24
奥迪A2,吉林,26,43.54,125.19
奥迪A2,黑龙江,29,45.44,126.36
奥迪A3,天津,1,39.02,117.12
奥迪A3,辽宁,29,41.48,123.25
奥迪A5,吉林,26,43.54,125.19
奥迪A5,辽宁,29,41.48,123.25
奥迪A6,上海,1,31.14,121.29
奥迪A6,北京,3,39.55,116.24
奥迪A6,河北,33,38.02,114.3
奥迪A6,黑龙江,29,45.44,126.36
奥迪Q3,吉林,26,43.54,125.19
帕萨特,沈阳,1,41.48,123.25
帕萨特B4,上海,1,31.14,121.29
